City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,chikitigarh,19.2,84.6167,86.7,28,41,4.72,IN,1675918581
168,bengkulu,-3.8004,102.2655,83.77,64,86,7.05,ID,1675918582
169,evensk,61.95,159.2333,-9.38,75,49,13.06,RU,1675918583
170,nouadhibou,20.931,-17.0347,62.58,63,100,4.61,MR,1675918521
171,palm coast,29.585,-81.2078,69.89,90,100,8.05,US,1675918079
172,bara,10.3744,10.7288,67.44,22,92,8.21,NG,1675918583
173,myrtle beach,33.6891,-78.8867,55.45,91,94,5.5,US,1675918510
174,harper,4.375,-7.7169,76.84,88,87,1.57,LR,1675918584
175,norman wells,65.282,-126.8329,-11.16,70,40,0.0,CA,1675918548
176,georgetown,5.4112,100.3354,85.93,79,20,3.44,MY,1675918585
177,berezovyy,51.6667,135.7,-0.94,67,9,3.0,RU,1675918585
178,saint-louis,16.3333,-15.0,69.44,17,100,10.63,SN,1675918586
179,touros,-5.1989,-35.4608,78.49,82,14,10.45,BR,1675918586
180,khasan,42.4308,130.6434,28.69,41,24,5.32,RU,1675918587
181,havoysund,70.9963,24.6622,35.83,59,100,22.77,NO,1675918587
182,kalol,22.6,73.45,72.84,15,6,4.81,IN,1675918588
183,flinders,-34.5833,150.8552,76.05,85,100,11.01,AU,1675918588
184,tangermunde,52.5446,11.9765,22.95,65,28,6.87,DE,1675918589
185,pochutla,15.7432,-96.4661,74.82,53,0,4.45,MX,1675918589
186,bandiagara,14.3501,-3.6104,74.28,14,1,10.76,ML,1675918589
187,klaksvik,62.2266,-6.589,32.92,90,87,43.13,FO,1675918590
188,pevek,69.7008,170.3133,-30.01,100,100,6.4,RU,1675918498
189,porto novo,6.4965,2.6036,82.22,91,67,3.22,BJ,1675918463
190,bambous virieux,-20.3428,57.7575,83.21,74,75,16.11,MU,1675918512
191,barrow,71.2906,-156.7887,-7.58,71,100,0.0,US,1675918048
192,nishihara,26.1842,127.7558,73.06,75,100,12.66,JP,1675918591
193,ust-tsilma,65.441,52.1498,26.28,79,96,11.68,RU,1675918591
194,moose factory,51.2585,-80.6094,5.0,85,20,2.3,CA,1675918592
195,quatre cocos,-20.2078,57.7625,83.08,76,37,13.04,MU,1675918511
196,berdigestyakh,62.0989,126.6992,-25.62,92,68,2.71,RU,1675918592
197,alappuzha,9.49,76.3264,80.64,61,85,1.66,IN,1675918593
198,kunashak,55.7032,61.5498,16.32,76,58,10.51,RU,1675918593
199,ponta do sol,32.6667,-17.1,58.01,73,51,7.2,PT,1675918594
200,joshimath,30.5667,79.5667,54.81,30,26,3.2,IN,1675918594
201,batemans bay,-35.7167,150.1833,69.1,89,100,8.03,AU,1675918595
202,tugolesskiy bor,55.5505,39.8242,11.35,99,91,2.98,RU,1675918595
203,moranbah,-22.0016,148.0466,88.3,37,67,16.91,AU,1675918595
204,souillac,-20.5167,57.5167,82.78,74,75,16.11,MU,1675918282
205,svarychiv,48.9622,24.1966,7.99,94,38,4.65,UA,1675918596
206,caravelas,-17.7125,-39.2481,74.53,89,53,4.99,BR,1675918596
207,portage,41.1667,-81.1998,44.38,72,100,5.75,US,1675918365
208,avarua,-21.2078,-159.775,82.45,74,20,8.05,CK,1675918597
209,qaanaaq,77.484,-69.3632,-24.99,63,13,5.97,GL,1675918482
210,port moresby,-9.4431,147.1797,87.22,70,40,17.27,PG,1675918282
211,agirish,61.9247,63.0231,25.34,83,72,15.32,RU,1675918598
212,ribas do rio pardo,-20.4431,-53.7592,72.72,87,80,1.68,BR,1675918598
213,upernavik,72.7868,-56.1549,-30.78,86,2,8.63,GL,1675918509
214,chuy,-33.6971,-53.4616,70.74,94,27,6.96,UY,1675918598
215,sola,-13.8833,167.55,81.52,74,90,5.84,VU,1675918599
216,napier,-39.4833,176.9167,67.28,68,44,8.01,NZ,1675918599
217,baykit,61.67,96.37,5.81,95,99,1.92,RU,1675918600
218,dali,25.7,100.1833,58.06,32,3,5.5,CN,1675918453
219,valdivia,-39.8142,-73.2459,55.49,98,21,0.29,CL,1675918600
220,port hardy,50.6996,-127.4199,39.38,93,100,26.46,CA,1675918601
221,pangnirtung,66.1451,-65.7125,-22.38,72,15,6.55,CA,1675918601
222,thompson,55.7435,-97.8558,6.96,72,100,8.05,CA,1675918601
223,haines junction,60.7522,-137.5108,10.35,79,68,2.3,CA,1675918602
